,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
123,Yeppoon,AU,2021-11-07 00:39:11,-23.1333,150.7333,82.18,63,98,15.32,overcast clouds,0,0
124,Tessalit,ML,2021-11-07 00:39:12,20.1986,1.0114,79.23,19,84,6.87,broken clouds,0,0
125,Orlik,RU,2021-11-07 00:39:12,52.5178,99.825,5.63,91,86,2.39,overcast clouds,0,0
126,Bethel,US,2021-11-07 00:36:22,41.3712,-73.414,42.66,74,1,3.44,clear sky,0,0
127,Yarensk,RU,2021-11-07 00:39:13,62.1675,49.0916,36.88,97,100,10.13,overcast clouds,0,0
128,Kodinsk,RU,2021-11-07 00:39:13,58.6881,99.1844,22.24,90,98,9.17,overcast clouds,0,0
129,Kushima,JP,2021-11-07 00:39:13,31.4583,131.2333,66.24,71,44,13.94,scattered clouds,0,0
130,Port Blair,IN,2021-11-07 00:39:14,11.6667,92.75,82.15,75,86,7.02,overcast clouds,0,0
131,Rawson,AR,2021-11-07 00:39:14,-43.3002,-65.1023,65.21,37,100,29.12,overcast clouds,0,0
132,Jamestown,US,2021-11-07 00:38:34,42.097,-79.2353,44.24,60,1,1.99,clear sky,0,0
133,Whitianga,NZ,2021-11-07 00:39:15,-36.8333,175.7,64.92,70,75,2.24,broken clouds,0,0
134,Comodoro Rivadavia,AR,2021-11-07 00:39:15,-45.8667,-67.5,76.86,14,0,11.5,clear sky,0,0
135,Husavik,IS,2021-11-07 00:35:03,66.0449,-17.3389,33.71,98,100,7.47,light rain,0,0
136,Yinchuan,CN,2021-11-07 00:39:16,38.4681,106.2731,23.13,37,0,5.23,clear sky,0,0
137,Cloquet,US,2021-11-07 00:39:16,46.7216,-92.4594,55.58,57,1,5.75,clear sky,0,0
138,Mahebourg,MU,2021-11-07 00:39:16,-20.4081,57.7,75.49,83,40,5.75,scattered clouds,0,0
139,Hofn,IS,2021-11-07 00:39:17,64.2539,-15.2082,36.95,90,100,7.81,light rain,0,0
140,Nanortalik,GL,2021-11-07 00:39:17,60.1432,-45.2371,31.3,74,100,11.43,overcast clouds,0,0
141,San Quintin,MX,2021-11-07 00:37:49,30.4833,-115.95,66.43,83,0,7.96,clear sky,0,0
142,Port Lavaca,US,2021-11-07 00:39:18,28.615,-96.6261,63.99,72,1,0.0,clear sky,0,0
143,Ostrovnoy,RU,2021-11-07 00:39:18,68.0531,39.5131,33.21,91,100,29.84,snow,0,0
144,Busselton,AU,2021-11-07 00:39:18,-33.65,115.3333,58.05,51,13,7.36,few clouds,0,0
145,Taldan,RU,2021-11-07 00:39:19,53.6667,124.8,15.64,47,100,2.71,overcast clouds,0,0
146,Shawville,CA,2021-11-07 00:39:19,45.6001,-76.4827,41.97,89,61,6.44,broken clouds,0,0
147,Nenita,PH,2021-11-07 00:39:19,12.4917,124.8044,81.05,90,100,6.08,overcast clouds,0,0
148,Hami,CN,2021-11-07 00:39:20,42.8,93.45,24.6,33,0,1.83,clear sky,0,0
149,Aswan,EG,2021-11-07 00:39:20,24.0934,32.907,76.1,34,0,8.57,clear sky,0,0
150,Pevek,RU,2021-11-07 00:39:21,69.7008,170.3133,2.44,79,100,11.83,overcast clouds,0,0
151,Cervo,ES,2021-11-07 00:39:21,43.6702,-7.4101,52.2,72,0,8.21,clear sky,0,0
152,Kodiak,US,2021-11-07 00:39:21,57.79,-152.4072,33.4,63,9,9.71,clear sky,0,0
153,Stornoway,GB,2021-11-07 00:39:22,58.2093,-6.3865,46.92,74,95,38.34,overcast clouds,0,0
154,Khatanga,RU,2021-11-07 00:37:47,71.9667,102.5,10.76,95,100,4.9,overcast clouds,0,0
155,Alpena,US,2021-11-07 00:39:22,45.0617,-83.4327,51.12,66,1,3.0,clear sky,0,0
156,Qaanaaq,GL,2021-11-07 00:39:23,77.484,-69.3632,5.72,74,90,7.63,overcast clouds,0,0
157,Rumoi,JP,2021-11-07 00:39:15,43.9344,141.6428,45.12,88,100,7.18,overcast clouds,0,0
158,Daru,PG,2021-11-07 00:39:23,-9.0763,143.2092,86.45,67,38,6.82,scattered clouds,0,0
159,Halifax,CA,2021-11-07 00:36:01,44.6453,-63.5724,41.05,79,0,3.44,clear sky,0,0
160,Saint-Raphael,HT,2021-11-07 00:39:24,19.4333,-72.2,73.83,84,79,1.66,broken clouds,0,0
161,Buzmeyin,TM,2021-11-07 00:39:24,38.0507,58.2056,33.53,60,20,2.3,few clouds,0,0
162,Mar Del Plata,AR,2021-11-07 00:39:10,-38.0023,-57.5575,53.87,79,100,10.0,overcast clouds,0,0
163,Tazovskiy,RU,2021-11-07 00:39:25,67.4667,78.7,32.7,96,100,16.55,overcast clouds,0,0
164,Lebu,CL,2021-11-07 00:39:25,-37.6167,-73.65,52.23,87,34,14.12,scattered clouds,0,0
165,Vardo,NO,2021-11-07 00:39:25,70.3705,31.1107,34.52,58,100,14.65,overcast clouds,0,0
166,Saldanha,ZA,2021-11-07 00:39:26,-33.0117,17.9442,51.85,69,100,17.81,overcast clouds,0,0
167,Harper,LR,2021-11-07 00:39:26,4.375,-7.7169,77.63,86,13,3.6,few clouds,0,0
168,Araouane,ML,2021-11-07 00:39:26,18.9048,-3.5265,81.23,19,83,8.99,broken clouds,0,0
169,Taoudenni,ML,2021-11-07 00:39:27,22.6783,-3.9836,75.79,19,0,5.28,clear sky,0,0
170,Bac Lieu,VN,2021-11-07 00:39:27,9.285,105.7244,82.9,81,80,11.39,broken clouds,0,0
171,Katsuura,JP,2021-11-07 00:38:59,35.1333,140.3,63.1,80,100,7.67,overcast clouds,0,0
172,Pombia,IT,2021-11-07 00:39:27,45.653,8.6336,46.35,79,0,9.22,clear sky,0,0
173,Fukue,JP,2021-11-07 00:39:28,32.6881,128.8419,66.56,68,20,12.66,few clouds,0,0
174,Andahuaylas,PE,2021-11-07 00:39:28,-13.6556,-73.3872,54.41,84,100,4.88,overcast clouds,0,0
175,Bilma,NE,2021-11-07 00:36:21,18.6853,12.9164,76.14,16,100,4.18,overcast clouds,0,0
176,Raahe,FI,2021-11-07 00:39:29,64.6833,24.4833,35.01,76,100,12.88,overcast clouds,0,0
177,Yankton,US,2021-11-07 00:37:45,42.8711,-97.3973,62.85,39,1,9.22,clear sky,0,0
178,Nuuk,GL,2021-11-07 00:36:05,64.1835,-51.7216,29.01,69,75,12.66,broken clouds,0,0
179,Port Elizabeth,ZA,2021-11-07 00:38:55,-33.918,25.5701,61.11,88,75,13.8,broken clouds,0,0
180,Banikoara,BJ,2021-11-07 00:39:29,11.2985,2.4386,76.35,32,74,1.19,broken clouds,0,0
181,Heihe,CN,2021-11-07 00:39:30,50.2441,127.4902,16.38,32,0,4.07,clear sky,0,0
182,Namibe,AO,2021-11-07 00:39:30,-15.1961,12.1522,70.79,79,100,1.79,overcast clouds,0,0
183,Teodoro Sampaio,BR,2021-11-07 00:39:30,-22.5325,-52.1675,76.01,83,100,5.26,overcast clouds,0,0
184,Makakilo City,US,2021-11-07 00:39:31,21.3469,-158.0858,86.32,59,20,11.5,few clouds,0,0
185,Vostok,RU,2021-11-07 00:39:31,46.4856,135.8833,20.01,56,100,3.83,overcast clouds,0,0
186,Riberalta,BO,2021-11-07 00:39:31,-10.9833,-66.1,78.73,71,100,4.45,overcast clouds,0,0
187,Sosnovka,RU,2021-11-07 00:39:32,56.255,51.2842,41.81,91,99,12.39,overcast clouds,0,0
188,Hobyo,SO,2021-11-07 00:36:22,5.3505,48.5268,79.3,67,76,5.3,broken clouds,0,0
